Title,Appearance,count
Trump_2016/Trump_2016-09-06-A.txt ,,
Trump_2016/Trump_2016-09-06-B.txt ,"('e', 'mail')",10
Trump_2016/Trump_2016-09-07-A.txt ,"('applaus', 'trump')",10
Trump_2016/Trump_2016-09-07-B.txt ,"('rubber', 'hose')",8
Trump_2016/Trump_2016-09-08.txt ,"('new', 'york')",7
Trump_2016/Trump_2016-09-09-A.txt ,"('african', 'american')",7
Trump_2016/Trump_2016-09-09-B.txt ,"('let', 'tell')",4
Trump_2016/Trump_2016-09-09.txt ,"('african', 'american')",7
Trump_2016/Trump_2016-09-12-A.txt ,,
Trump_2016/Trump_2016-09-12-B.txt ,"('member', 'nation')",4
Trump_2016/Trump_2016-09-13-A.txt ,,
Trump_2016/Trump_2016-09-13-B.txt ,"('applaus', 'inaud')",6
Trump_2016/Trump_2016-09-13.txt ,,
Trump_2016/Trump_2016-09-16.txt ,,
Trump_2016/Trump_2016-09-17.txt ,"('thank', 'much')",8
Trump_2016/Trump_2016-09-29.txt ,"('applaus', 'go')",8
Trump_2016/Trump_2016-09-30.txt ,"('audienc', ')",
Trump_2016/Trump_2016-10-03-A.txt ,,
Trump_2016/Trump_2016-10-03-B.txt ,"('audienc', 'boo')",15
Trump_2016/Trump_2016-10-05.txt ,"('go', 'make')",10
Trump_2016/Trump_2016-10-06.txt ,,
Trump_2016/Trump_2016-10-10-A.txt ,"('applaus', 'go')",13
Trump_2016/Trump_2016-10-10-B.txt ,"('audienc', ')",
Trump_2016/Trump_2016-10-11.txt ,"('unit', 'state')",11
Trump_2016/Trump_2016-10-12.txt ,,
Trump_2016/Trump_2016-10-13.txt ,"('york', 'time')",10
Trump_2016/Trump_2016-10-14-A.txt ,"('north', 'carolina')",8
Trump_2016/Trump_2016-10-14-B.txt ,"('audienc', ')",
Trump_2016/Trump_2016-10-17.txt ,,
Trump_2016/Trump_2016-10-18.txt ,"('novemb', '8th')",8
Trump_2016/Trump_2016-10-21-A.txt ,,
Trump_2016/Trump_2016-10-21-B.txt ,"('lock', 'lock')",8
Trump_2016/Trump_2016-10-21-C.txt ,,
Trump_2016/Trump_2016-10-27.txt ,"('unit', 'state')",9
Trump_2016/Trump_2016-10-28.txt ,"('peopl', 'come')",9
Trump_2016/Trump_2016-10-31.txt ,"('build', 'wall')",8
Trump_2016/Trump_2016-11-01-A.txt ,,
Trump_2016/Trump_2016-11-01-B.txt ,"('thank', 'much')",5
Trump_2016/Trump_2016-11-02-A.txt ,"('audienc', ')",
Trump_2016/Trump_2016-11-02-B.txt ,,
Trump_2016/Trump_2016-11-02-C.txt ,"('boo', 'trump')",6
Trump_2016/Trump_2016-11-03-A.txt ,,
Trump_2016/Trump_2016-11-03-B.txt ,"('applaus', 'go')",12
Trump_2016/Trump_2016-11-04-A.txt ,,
Trump_2016/Trump_2016-11-04-B.txt ,"('Mr', 'trump')",19
Trump_2016/Trump_2016-11-04-C.txt ,"('unit', 'state')",8
Trump_2016/Trump_2016-11-05-A.txt ,"('audienc', ')",
Trump_2016/Trump_2016-11-05-B.txt ,"('hillari', 'clinton')",13
Trump_2016/Trump_2016-11-06.txt ,"('thank', 'much')",6
Trump_2016/Trump_2016-11-07-A.txt ,,
Trump_2016/Trump_2016-11-07-B.txt ,,
Trump_2016/Trump_2016-11-07-C.txt ,,
Trump_2016/Trump_2016-11-07-D.txt ,"('applaus', 'go')",9
Trump_2016/Trump_2016-11-08.txt ,,
Trump_2016/Trump_2016-11-09.txt ,"('applaus', 'thank')",4
Trump_2016/Trump_2016-07-22.txt ,"('donald', 'trump')",7
Trump_2016/Trump_2016-07-25.txt ,"('penc', ')",
Trump_2016/Trump_2016-07-26.txt ,"('donald', 'trump')",4
Trump_2016/Trump_2016-07-27-A.txt ,,
Trump_2016/Trump_2016-07-27-B.txt ,"('(', 'applaus')",10
Trump_2016/Trump_2016-08-01.txt ,"('go', 'take')",11
Trump_2016/Trump_2016-08-02.txt ,"('hillari', 'clinton')",8
Trump_2016/Trump_2016-08-04.txt ,"('applaus', 'go')",9
Trump_2016/Trump_2016-08-05.txt ,"('unit', 'state')",10
Trump_2016/Trump_2016-08-08.txt ,"('american', 'worker')",9
Trump_2016/Trump_2016-08-10.txt ,"('lot', 'money')",9
Trump_2016/Trump_2016-08-12-A.txt ,"('go', 'make')",9
Trump_2016/Trump_2016-08-12-B.txt ,"('unit', 'state')",10
Trump_2016/Trump_2016-08-15.txt ,"('presid', 'obama')",11
Trump_2016/Trump_2016-08-16.txt ,"('audienc', ')",
Trump_2016/Trump_2016-08-17.txt ,,
Trump_2016/Trump_2016-08-18.txt ,,
Trump_2016/Trump_2016-08-19.txt ,,
Trump_2016/Trump_2016-08-22.txt ,"('usa', '!')",6
Trump_2016/Trump_2016-08-23.txt ,"('hillari', 'clinton')",16
Trump_2016/Trump_2016-08-24-A.txt ,"('applaus', 'trump')",9
Trump_2016/Trump_2016-08-24-B.txt ,"('african', 'american')",10
Trump_2016/Trump_2016-08-25.txt ,"('inner', 'citi')",8
Trump_2016/Trump_2016-08-30.txt ,"('crowd', 'chant')",9
Trump_2016/Trump_2016-08-31.txt ,"('unknown', ')",
Trump_2016/Trump_2016-09-01-A.txt ,"('build', 'wall')",5
Trump_2016/Trump_2016-09-01-B.txt ,"('applaus', 'trump')",4
Trump_2016/Trump_2016-09-06-A.txt ,,
Trump_2016/Trump_2016-09-06-B.txt ,"('donald', 'trump')",7
Trump_2016/Trump_2016-09-07-A.txt ,"('middl', 'east')",7
Trump_2016/Trump_2016-09-07-B.txt ,"('want', 'thank')",7
Trump_2016/Trump_2016-09-08.txt ,"('right', 'begin')",7
Trump_2016/Trump_2016-09-09-A.txt ,"('go', 'get')",7
Trump_2016/Trump_2016-09-09-B.txt ,"('hillari', 'clinton')",4
Trump_2016/Trump_2016-09-09.txt ,"('go', 'get')",7
Trump_2016/Trump_2016-09-12-A.txt ,,
Trump_2016/Trump_2016-09-12-B.txt ,"('men', 'woman')",4
Trump_2016/Trump_2016-09-13-A.txt ,,
Trump_2016/Trump_2016-09-13-B.txt ,"('low', 'incom')",6
Trump_2016/Trump_2016-09-13.txt ,,
Trump_2016/Trump_2016-09-16.txt ,,
Trump_2016/Trump_2016-09-17.txt ,"('illeg', 'alien')",7
Trump_2016/Trump_2016-09-29.txt ,"('audienc', ')",
Trump_2016/Trump_2016-09-30.txt ,,
Trump_2016/Trump_2016-10-03-A.txt ,,
Trump_2016/Trump_2016-10-03-B.txt ,"('applaus', ')')",14
Trump_2016/Trump_2016-10-05.txt ,"('novemb', '8th')",8
Trump_2016/Trump_2016-10-06.txt ,,
Trump_2016/Trump_2016-10-10-A.txt ,"('bring', 'back')",12
Trump_2016/Trump_2016-10-10-B.txt ,,
Trump_2016/Trump_2016-10-11.txt ,"('new', 'york')",10
Trump_2016/Trump_2016-10-12.txt ,,
Trump_2016/Trump_2016-10-13.txt ,"('american', 'peopl')",8
Trump_2016/Trump_2016-10-14-A.txt ,"('e', 'mail')",8
Trump_2016/Trump_2016-10-14-B.txt ,,
Trump_2016/Trump_2016-10-17.txt ,,
Trump_2016/Trump_2016-10-18.txt ,"('trump', 'administr')",7
Trump_2016/Trump_2016-10-21-A.txt ,,
Trump_2016/Trump_2016-10-21-B.txt ,"('applaus', 'go')",8
Trump_2016/Trump_2016-10-21-C.txt ,,
Trump_2016/Trump_2016-10-27.txt ,"('donald', 'trump')",5
Trump_2016/Trump_2016-10-28.txt ,"('unit', 'state')",7
Trump_2016/Trump_2016-10-31.txt ,"('hillari', 'one')",8
Trump_2016/Trump_2016-11-01-A.txt ,,
Trump_2016/Trump_2016-11-01-B.txt ,"('thank', 'applaus')",5
Trump_2016/Trump_2016-11-02-A.txt ,,
Trump_2016/Trump_2016-11-02-B.txt ,,
Trump_2016/Trump_2016-11-02-C.txt ,"('e', 'mail')",6
Trump_2016/Trump_2016-11-03-A.txt ,,
Trump_2016/Trump_2016-11-03-B.txt ,"('unit', 'state')",10
Trump_2016/Trump_2016-11-04-A.txt ,,
Trump_2016/Trump_2016-11-04-B.txt ,"('hillari', 'clinton')",12
Trump_2016/Trump_2016-11-04-C.txt ,"('go', 'happen')",8
Trump_2016/Trump_2016-11-05-A.txt ,,
Trump_2016/Trump_2016-11-05-B.txt ,"('go', 'win')",11
Trump_2016/Trump_2016-11-06.txt ,"('special', 'interest')",6
Trump_2016/Trump_2016-11-07-A.txt ,,
Trump_2016/Trump_2016-11-07-B.txt ,,
Trump_2016/Trump_2016-11-07-C.txt ,,
Trump_2016/Trump_2016-11-07-D.txt ,"('usa', '!')",9
Trump_2016/Trump_2016-11-08.txt ,,
Trump_2016/Trump_2016-11-09.txt ,"('countri', 'applaus')",4
Trump_2016/Trump_2016-07-22.txt ,"('applaus', ')')",7
Trump_2016/Trump_2016-07-25.txt ,,
Trump_2016/Trump_2016-07-26.txt ,"('thank', 'much')",4
Trump_2016/Trump_2016-07-27-A.txt ,,
Trump_2016/Trump_2016-07-27-B.txt ,"('applaus', ')')",10
Trump_2016/Trump_2016-08-01.txt ,"('unit', 'state')",10
Trump_2016/Trump_2016-08-02.txt ,"('look', 'look')",8
Trump_2016/Trump_2016-08-04.txt ,"('new', 'hampshir')",9
Trump_2016/Trump_2016-08-05.txt ,"('go', 'get')",9
Trump_2016/Trump_2016-08-08.txt ,"('new', 'york')",9
Trump_2016/Trump_2016-08-10.txt ,"('take', 'look')",9
Trump_2016/Trump_2016-08-12-A.txt ,"('great', 'job')",9
Trump_2016/Trump_2016-08-12-B.txt ,"('go', 'happen')",10
Trump_2016/Trump_2016-08-15.txt ,"('middl', 'east')",11
Trump_2016/Trump_2016-08-16.txt ,,
Trump_2016/Trump_2016-08-17.txt ,,
Trump_2016/Trump_2016-08-18.txt ,,
Trump_2016/Trump_2016-08-19.txt ,,
Trump_2016/Trump_2016-08-22.txt ,"('!', 'usa')",6
Trump_2016/Trump_2016-08-23.txt ,"('audienc', ')",
Trump_2016/Trump_2016-08-24-A.txt ,"('clinton', 'want')",9
Trump_2016/Trump_2016-08-24-B.txt ,"('unit', 'state')",9
Trump_2016/Trump_2016-08-25.txt ,"('special', 'interest')",7
Trump_2016/Trump_2016-08-30.txt ,"('want', 'thank')",7
Trump_2016/Trump_2016-08-31.txt ,,
Trump_2016/Trump_2016-09-01-A.txt ,"('go', 'win')",4
Trump_2016/Trump_2016-09-01-B.txt ,"('make', 'america')",4
Trump_2016/Trump_2016-09-06-A.txt ,,
Trump_2016/Trump_2016-09-06-B.txt ,"('applaus', 'go')",7
Trump_2016/Trump_2016-09-07-A.txt ,"('missil', 'defens')",6
Trump_2016/Trump_2016-09-07-B.txt ,"('conserv', 'parti')",6
Trump_2016/Trump_2016-09-08.txt ,"('e', 'mail')",6
Trump_2016/Trump_2016-09-09-A.txt ,"('get', 'rid')",7
Trump_2016/Trump_2016-09-09-B.txt ,"('go', 'happen')",4
Trump_2016/Trump_2016-09-09.txt ,"('get', 'rid')",7
Trump_2016/Trump_2016-09-12-A.txt ,,
Trump_2016/Trump_2016-09-12-B.txt ,"('thank', 'much')",3
Trump_2016/Trump_2016-09-13-A.txt ,,
Trump_2016/Trump_2016-09-13-B.txt ,"('thank', 'much')",5
Trump_2016/Trump_2016-09-13.txt ,,
Trump_2016/Trump_2016-09-16.txt ,,
Trump_2016/Trump_2016-09-17.txt ,"('trump', 'thank')",6
Trump_2016/Trump_2016-09-29.txt ,,
