Title,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency
Trump_2016/Trump_2016-09-12-B.txt , applaus,19, peopl,19, clinton,18, hillari,17, american,15, nation,13, countri,12, guard,11, campaign,10, everi,10, support,9, one,9, trump,8, thank,8, job,8, chang,8, life,7, call,7, want,7, mani,6, citizen,6, member,6, go,6, run,6, america,6, make,6, disast,6, polici,6, state,5, happen,5, mean,5, militari,5, good,5, famili,5, protect,5, gener,4, ever,4, like,4, attack,4, day,4, new,4, citi,4, know,4, work,4, presid,4, men,4, woman,4, law,4, million,4, comment, 4]
Trump_2016/Trump_2016-09-13-A.txt , applaus,67, go,48, american,37, trump,32, countri,24, job,23, peopl,21, one,20, get,20, know,17, great,15, make,15, thank,13, famili,13, percent,13, wall,13, time,11, million,11, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-13-B.txt , applaus,49, inaud,29, care,25, child,23, trump,17, work,15, famili,15, plan,15, parent,13, want,12, provid,12, tax,12, thank,11, incom,11, employ,11, much,10, also,10, solut,10, countri,10, save,10, account,10, go,9, make,9, ,8, time,8, american,8, right,7, lot,7, peopl,7, like,7, deduct,7, low,7, fund,7, outlin,6, put,6, mani,6, contribut,6, depend,6, audienc,5, ,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-13.txt , applaus,67, go,48, american,37, trump,32, countri,24, job,23, peopl,21, one,20, get,20, know,17, great,15, make,15, thank,13, famili,13, percent,13, wall,13, time,11, million,11, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-16.txt , applaus,103, go,86, peopl,49, trump,34, american,31, job,28, look,26, countri,25, get,25, know,23, one,23, right,22, tell,20, !,20, great,19, deal,18, thank,17, way,17, lot,17, mani,16, come,16, love,15, new,15, take,15, year,14, want,14, like,13, never,13, see,13, citi,12, think,12, audienc,12, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-17.txt , thank,32, applaus,27, peopl,26, illeg,18, trump,17, time,17, famili,17, countri,17, back,16, american,15, go,15, know,14, immigr,13, never,12, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-29.txt , go,80, peopl,41, applaus,40, american,27, hillari,25, clinton,25, job,22, countri,21, new,19, happen,19, deal,19, know,17, look,17, state,16, think,16, right,15, never,15, say,15, like,14, thing,14, make,14, ever,14, one,14, great,13, everi,13, want,13, mani,12, said,12, america,12, special,11, win,11, see,10, trump,9, hampshir,9, time,9, start,9, get,9, sad,9, year,9, nation,9, campaign,8, much,8, realli,8, singl,8, made,8, seen,8, money,8, turn,8, anyth,8, big, 8]
Trump_2016/Trump_2016-09-30.txt , go,81, applaus,65, peopl,49, clinton,45, job,39, countri,38, hillari,37, trump,32, american,32, boo,30, get,30, know,29, !,24, want,22, said,21, make,21, michigan,20, ever,20, state,19, happen,19, deal,19, say,19, million,19, one,18, believ,18, never,18, give,17, america,17, like,17, back,16, right,16, money,16, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-10-03-A.txt , go,64, peopl,60, trump,57, know,55, question,55, militari,41, one,41, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-10-03-B.txt , applaus,94, go,82, peopl,66, ;,32, never,32, countri,31, know,29, tax,29, trump,28, job,28, want,27, said,27, audienc,27, great,25, hillari,25, clinton,25, like,25, make,24, ,24, get,23, american,22, mani,22, one,21, deal,20, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
